recipe_name,recipe_CompletePicture_url,recipeProcess_pictures_url,recipe_process,recipe_stuff,recipe_stuff_count,recipe_StuffCountUnit
두부채소샐러드,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00412_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00412_06.png']","['1. 두부는 먹기 좋은 크기로 잘라서 팬에 바삭\n하게 구워준다.', '2. 구워진 두부는 기름을 빼고 채 썰어준다.', '3. 방울토마토는 작은 사각형으로 잘라주고,\n치커리는 먹기좋게 잘라준다.', '4. 표고버섯와 홍고추, 노란파프리카는 가늘게\n채 썰어 볶아준다.', '5. 소스를 만들어준다. 잘라준 토마토는 먹기\n직전에 소스와 섞어준다.', '6. 접시에 치커리를 깔고 볶아진 두부와 채소를\n올려 완성한다.']","['두부', '건 표고버섯', '치커리', '홍고추', '노란색 파프리카', '방울토마토', '요거트', '겨자', '꿀', '레몬즙']","['100', '10', '15', '17', '25', '40', '50', '2', '15', '15']","['g', 'g', 'g', 'g', 'g', '개', 'g', 'g', 'g', 'g']"
더덕비트물김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00413_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00413_06.png']","['1. 물과 식초가 포함된 물에 담가서 쓴맛을\n빼준다.', '2. 물에 절여진 더덕은 키친타월을 이용해 물기를\n완전히 빼준다.', '3. 양파, 청고추, 홍고추도 어슷하게 썰어준다.', '4. 비트를 편으로 썰어서 국물을 만들어준다.', '5. 그릇에 더덕부터 30분 정도 담가 물을 살짝\n들여준다.', '6. 나머지 재료도 함께 담가 간을 배게 한 뒤 24\n시간 후부터 먹을 수가 있다.']","['더덕', '양파', '청고추', '홍고추', '식초', '비트', '함초소금', '생강청', '식초']","['50', '60', '15', '15', '10', '20', '5', '30', '15']","['g', 'g', 'g', 'g', '개', 'g', 'g', 'g', 'g']"
가지나물냉국,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102108_1416273668286.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/678-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/678-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/678-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/678-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/678-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/678-6.jpg']","['1. 가지는 반 갈라 4등분하여 찜통에 5분간 찐 후 한 김 식혀준다.', '2. 식은 가지를 새끼손가락 굵기로 찢는다.', '3. 다진 고추, 실파, 마늘, 국간장을 넣어 양념장을 만든다.', '4. 찐 가지에 양념장을 넣고 조물조물 무친다.', '5. 차게 한 다시마국물 반컵에 식초, 죽염을 넣어 간한다.', '6. 유리 그릇에 무친 가지를 담고 5를 부은 뒤 얼음을 띄우고 통깨를 뿌린다.']","['가지', '다진 청양고추', '다진 홍고추', '다진 실파', '다진 마늘', '국간장', '다시마국물', '건다시마', '사과식초', '감식초', '소금', '통깨']","['50', '25', '25', '25', '125', '3', '100', '5', '125', '125', '05', '1']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
수삼매운닭찜,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102109_1416273669146.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/679-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/679-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/679-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/679-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/679-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/679-6.jpg']","['1. 닭은 찬물에 담가 핏물을 제거하고 끓는 물에 넣고 데쳐 기름을 뺀다.', '2. 당면과 표고버섯은 각각 물에 담가 불리고 버섯 불린 물은 따로 받아둔다.', '3. 표고버섯, 감자, 양파, 당근은 한입 크기로 썰고 수삼과 대파는 어슷 썬다.', '4. 냄비에 닭과 양념, 버섯, 감자, 양파, 당근, 건고추, 버섯 불린 물 3/4컵을 넣고 조린다.', '5. 닭이 반쯤 익었을 때 수삼을 넣고 계속 조린다.', '6. 닭이 다 익으면 당면, 대파, 다진 마늘을 넣고 살짝 끓여 담아낸다.']","['토막 낸 닭', '닭고기살 무게', '수삼', '건표고버섯', '건표고버섯 불릴 물', '감자', '양파', '당근', '건청양고추', '건당면', '대파', '다진 마늘', '간장', '황설탕', '올리고당', '노두유', '후추']","['170', '90', '25', '8', '150', '20', '25', '10', '25', '5', '10', '4', '10', '8', '9', '1', '025']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
수박즙돼지목심구이,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102122_1416273682794.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/680-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/680-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/680-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/680-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/680-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/680-6.jpg']","['1. 키친타월을 이용해 돼지고기의 핏물을 뺀다.', '2. 돼지고기에 칼집을 내준다.', '3. 칼집 낸 돼지고기에 올리브유, 후추를 뿌려 재워둔다.', '4. 수박의 씨를 빼고 살만 발라 믹서에 간다.', '5. 소스 재료를 모두 섞어 약불에서 살짝 졸여 식힌다.', '6. 재워 놓은 고기에 소스를 끼얹어 팬에 굽는다.']","['돼지고기 목심', '올리브유', '후추', '수박', '간장', '설탕', '물엿', '다진 마늘', '후추']","['70', '2', '025', '15', '3', '2', '3', '2', '025']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
별미병어조림,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102131_1416273691739.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/681-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/681-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/681-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/681-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/681-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/681-6.jpg']","['1. 병어에 칼집을 내어 소금을 뿌린다.', '2. 무는 두툼하게 썰고 양파는 굵게 채 썰고 고추와 대파는 어슷 썬다.', '3. 양념장 재료를 모두 섞어 양념장을 만든다.', '4. 양념장의 ¼만 남기고 나머지 양념장을 물 반컵에 풀어 무를 넣어 끓인다.', '5. 무에 간이 배면 양파와 병어를 넣고 남은 양념장을 넣어 졸여준다.', '6. 고추와 대파를 넣어 마무리한다.']","['병어', '소금', '물', '무', '양파', '풋고추', '홍고추', '대파', '된장', '고추장', '굵은 고춧가루', '고운 고춧가루', '맛술', '매실액', '다진 마늘', '생강즙', '참기름', '후추']","['60', '1', '100', '40', '25', '10', '25', '5', '2', '6', '17', '085', '5', '6', '2', '1', '15', '025']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
비름나물겉절이,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101935_1416273575289.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/682-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/682-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/682-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/682-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/682-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/682-6.jpg']","['1. 쇠비름을 씻는다.', '2. 씻은 쇠비름을 소금물에 담가 살짝 절인다.', '3. 절여논 쇠비름을 헹구어 체에 건진다.', '4. 양념 재료를 모두 섞어 양념장을 만든다.', '5. 쇠비름에 양념장을 넣어 살짝 무쳐낸다.', '6. 그릇에 담아 완성한다.']","['비름나물', '물', '소금', '까나리액젓', '국간장', '물', '고춧가루', '매실액', '통깨', '다진 파', '다진 마늘']","['30', '100', '3', '15', '15', '15', '17', '6', '1', '25', '1']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
깻잎단호박튀김,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101944_1416273584860.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/683-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/683-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/683-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/683-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/683-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/683-6.jpg']","['1. 단호박을 반 갈라 씨를 빼고 8등분 한다.', '2. 김이 오른 찜통에 단호박을 찐다.', '3. 찐 단호박을 껍질을 벗겨 으깨고 호두는 잘게 다진다.', '4. 으깬 단호박에 다진 호두와 꿀 넣고 섞는다.', '5. 깻잎 뒷면에 4 를 한 숟가락 올리고 양끝을 오무려 돌돌 만다.', '6. 찹쌀가루에 물 한 큰술을 섞은 튀김옷을 골고루 입혀 바삭하게 튀겨낸다.']","['깻잎', '단호박', '호두', '꿀', '찹쌀가루', '물', '콩기름']","['5', '30', '5', '3', '10', '15', '4']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
냉머위들깨나물,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118101949_1416273589013.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/684-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/684-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/684-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/684-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/684-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/684-6.jpg']","['1. 머위대를 잘라 데쳐서 껍질을 벗긴다.', '2. 데친 머위대를 찬물에 1~2 시간 담가 쓴맛을 제거한다.', '3. 양념을 넣어 머위대를 무친다.', '4. 팬에 들기름을 두르고 양념한 머위대를 볶는다.', '5. 물 반컵을 넣고 국물이 자박하도록 푹 끓여낸다.', '6. 완성된 머위나물을 식혀서 냉장고에 차게 보관하였다가 먹는다.']","['머위대', '들기름', '쪽파', '물', '거피들깨가루', '국간장', '다진 파', '다진 마늘', '소금']","['70', '2', '5', '100', '6', '3', '25', '1', '05']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
수박껍질풋고추볶음,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102032_1416273632764.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/685-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/685-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/685-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/685-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/685-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/685-6.jpg']","['1. 수박껍질의 녹색부분을 제거하고 얄팍하게 채 썬다.', '2. 채 썬 수박껍질에 소금을 뿌려 살짝 절여 물기를 짠다.', '3. 고추는 길이로 2등분하여 씨를 뺀다.', '4. 씨를 뺀 고추는 굵게 채 썬다.', '5. 팬에 기름을 두르고 수박껍질과 고추를 넣어 살짝 볶는다.', '6. 소금으로 간을 맞추고 마무리한다.']","['수박 속껍질', '풋고추', '홍고추', '포도씨유', '소금', '절일 때', '간 맞출 때']","['50', '15', '5', '4', '1', '05', '05']","['g', 'g', 'g', 'g', 'g', 'g', 'g']"
우무오미자냉화채,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102047_1416273647602.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/686-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/686-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/686-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/686-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/686-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/686-6.jpg']","['1. 오미자를 헹궈 따뜻한 물에 담가 12시간 우린다.', '2. 우려낸 오미자물을 면보에 거른다.', '3. 오미자 국물 1컵에 올리고당을 넣어 감미한다.', '4. 우무를 곱게 채 썰거나 모양 틀로 찍어낸다.', '5. 오미자 국물을 살짝 얼려 믹서에 갈아 슬러쉬를 만든다.', '6. 오미자 슬러쉬에 우무를 올린다.']","['오미자', '물', '올리고당', '우무묵']","['10', '200', '14', '20']","['g', 'g', 'g', 'g']"
포도호두스무디,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102113_1416273673197.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/688-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/688-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/688-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/688-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/688-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/688-6.jpg']","['1. 포도를 씻는다.', '2. 포도 껍질을 까고, 포도알을 떼어 낸다.', '3. 포도알은 뚜껑이 있는 통에 담아 냉동고에 얼린다.', '4. 얼린 포도알에 오미자액과 호상요구르트를 넣고 믹서에 갈아 스무디를 만든다.', '5. 호두는 칼로 굵게 다진다.', '6. 다진 호두는 스무디 위에 뿌린다.']","['얼린포도알', '오미자액', '호상요구르트', '깐호두']","['80', '15', '30', '5']","['g', 'g', 'g', 'g']"
전복영양밥과 부추양념장,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102114_1416273674091.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/689-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/689-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/689-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/689-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/689-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/689-6.jpg']","['1. 물 2컵에 건다시마를 넣어 다시마국물을 1컵 반 정도를 낸다.', '2. 우린 다시마와 전복살은 잘게 다진다.', '3. 표고버섯, 양송이버섯, 당근은 0.5~0.7cm 주사위모양으로 썬다.', '4. 쌀은 씻어 2와 3을 넣고 다시마국물 1컵 반을 부어 30분 정도 불린 후 밥을 짓는다.', '5. 부추와 실파는 다지고 참기름, 다진 마늘, 통깨, 다시마국물, 간장을 넣어 양념장을 만든다.', '6. 전복영양밥과에 부추양념장을 곁들인다.']","['쌀', '전복살', '양송이 버섯', '표고버섯', '당근', '건다시마', '물', '다시마국물', '부추', '간장', '실파', '다진 마늘', '참기름', '통깨']","['90', '40', '13', '15', '15', '5', '400', '5', '5', '5', '25', '25', '05', '05']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
근대쌈밥과 멸치견과류쌈장,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102115_1416273675090.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/690-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/690-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/690-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/690-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/690-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/690-6.jpg']","['1. 물 2/3컵에 국멸치와 건다시마를 넣고 끓여 국물을 내면서 이 열로 근대를 삼발이에 놓고 찐다.', '2. 국물 우린 다시마를 잘게 썰어 쌀, 현미, 보리쌀과 함께 잡곡밥을 짓는다.', '3. 잔멸치는 기름을 두르지 않고 팬에 살짝 볶아 다지고 견과류도 칼로 다진다.', '4. 양파와 파를 다진다.', '5. 고추장, 된장, 견과류, 양파, 다진 마늘, 매실액, 파, 멸치다시마국물을 섞어 멸치견과류쌈장을 만든다.', '6. 근대위에 밥을 약 30g(1숟가락)정도 올리고 멸치견과류쌈장 5g 가량 넣어 근대잎으로 싼다.']","['쌀', '현미', '보리쌀', '근대', '물', '국멸치', '건다시마', '다시마국물', '양파', '된장', '파', '고추장', '잔멸치', '호두', '잣', '땅콩', '다진 마늘', '매실액']","['70', '10', '10', '50', '400', '2', '25', '10', '3', '25', '25', '25', '25', '25', '25', '25', '25', '25']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
장어조림,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00428_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00428_06.png']","['1. 장어는 한입 크기로 잘라서 흰 후추와 청주를\n뿌려 재워준다.', '2. 깻잎은 채를 썰어서 냉수에 담가 물기를\n빼준다.', '3. 생강, 마늘은 편으로 썰어주고 양파, 청고추,\n홍고추는 어슷하게 잘라준다.', '4. 참기름을 뺀 양념장 재료에 편마늘과 다진대파를\n넣어서 양념장을 만들어준다.', '5. 만들어진 양념장 1/2에 장어를 넣고 졸여준다.', '6. 나머지 양념장에 준비된 채소를 넣어 볶아주다\n졸인 장어를 넣어 졸여주고 깻잎을 깔고\n완성한다.']","['장어', '깻잎', '홍고추', '양파', '생강', '맛간장', '올리고당', '청주', '참기름', '흰후추 1g통깨', '통마늘', '대파']","['150', '10', '17', '60', '15', '25', '15', '15', '15', '5', '20', '10']","['g', 'g', 'g', 'g', '개', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
미역전복죽,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00431_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00431_06.png']","['1. 전복은 내장과 분리해 손질한다.', '2. 내장은 칼로 다진다.', '3. 당근과 전복살은 송송 잘라준다.', '4. 전복 껍질과 다시마를 넣어 물 300g에 국물을\n만들어준다.', '5. 만들어진 국물에 미역을 넣고 끓여준다.', '6. 다진 내장과 불린 찹쌀을 참기름에 볶다가\n끓인 미역국을 넣고 더 끓여 죽을 만든다.\n다진 당근, 흑임자로 마무리 완성한다.']","['전복', '찹쌀', '당근', '다시마 사방 10x10cm건조 자른미역', '참기름', '검정깨']","['100', '70', '25', '3', '15', '5']","['g', 'g', 'g', 'g', 'g', 'g']"
불고기미니볼,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00432_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00432_06.png']","['1. 단호박, 감자는 가늘게 채 썰어 기름에 바싹\n튀겨준다', '2. 불고기에 다진 양파를 섞어 양념장에 버무려\n준다.', '3. 양념된 불고기는 완자로 만들어 밀가루, 계란,\n빵가루 순으로 묻혀서 기름에 튀겨준다.', '4. 소스를 만들어준다', '5. 튀겨진 소고기 볼을 기름에 한 번 더 튀겨준다.', '6. 접시에 으깬 감자와 불고기볼 그리고 튀김을\n올리고 소스와 바질을 올려 완성한다']","['다진소고기', '다진양파 15g 빵가루', '계란', '밀가루 15g식용유', '단호박', '감자', '로즈마리', '참기름', '맛간장', '생강청', '흰후추', '다진마늘', '통깨', '딸기잼', '오미자청', '물']","['40', '30', '60', '200', '25', '25', '1', '5', '15', '15', '1', '1', '1', '30', '15', '30']","['g', 'g', 'g', 'g', 'g', 'g', '개', 'g', 'g', 'g', 'g', 'g', '개', 'g', 'g', 'g']"
치자연근물김치,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00433_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_01.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_02.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_03.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_04.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_05.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00433_06.png']","['1. 당근은 모양틀로 잘라서 편으로 썰어준다.', '2. 연 근 은 껍 질 을 벗 겨 서 식 초 물 에 살 짝\n담가준다.', '3. 청고추, 홍고추, 미나리는 먹기 좋게 썰어준다.', '4. 마늘은 편으로 썰어서 물 400g에 끓여주다\n불을 끄고 치자가루를 넣어 국물을 만들어준다.', '5. 국물에 연근을 담가 색을 들인다.', '6. 여기에 생강청, 식초, 설탕, 볶은소금과 준비된\n채소를 넣어 치자 연근물김치를 완성한다.']","['연근', '당근', '미나리', '청고추', '홍고추', '알마늘 12g치자가루', '생강청', '식초', '볶은소금', '설탕']","['200', '40', '20', '15', '18', '15', '30', '15', '5', '7']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
등심채소롤,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00436_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_5.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00436_6.png']","['1. 등심은 넓게 펴서 소금과 후춧가루를\n뿌려 준비한다.', '2. 파프리카와 파인애플은 속을 제거하고\n약 7cm 길이로 썰어놓는다.', '3. 시금치는 끓는 물에 데쳐 찬물에 헹구어\n준비한다.', '4. 밑간을 해 놓은 등심에 준비한 파프리카와\n시금치 파인애플을 넣는다.', '5. 채소와 파인애플을 넣은 등심에 치즈를\n넣고 돌돌말아 밀가루, 달걀물, 빵가루\n순서로 입혀 튀김기름 170~180℃에서\n약 3분 정도 튀겨 기름을 빼 놓는다.', '6. 냄비에 칠리소소와 물, 설탕을 넣고\n바글바글 끓이다가 물녹말을 넣고\n한 번 더 끓인 후, 튀겨놓은 등심채소\n롤에 함께 뿌려 완성한다.']",['물'],['5'],['g']
삼겹살부추찜,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00544_2.png,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_1.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_2.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_3.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_4.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_5.png', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00544_6.png']","['1. 보쌈용 삼겹살을 깨끗이 씻어 생강채와\n양파채, 월계수잎, 통후추와 소주를\n넣고 약 1시간 정도 숙성을 시킨다.', '2. 찜통에 물과 된장, 편마늘을 넣고 숙성된\n삼겹살을 올려 약 50분 정도 찜을 하다가\n부추를 올려 1분 정도 더 찜을 한다.', '3. 부추는 약 6cm 길이로 썰어 준비한다.', '4. 홍고추는 반으로 갈라 씨를 제거하고,\n채를 썰어 놓는다.', '5. 냄비에 간장과 물, 설탕, 올리고당,\n통후추, 생강을 넣고 은근히 끓인다.', '6. 소스가 은근히 끓고 있을 때 채로 생강과\n통후추를 걸러내고, 물녹말을 풀어 한\n소큼 더 끓인 후, 찜통에서 쪄 나온 부추와\n삼겹살을 썰어 접시에 담고, 그 위에\n소스와 홍고추를 올려 완성한다.']","['녹말', '물']","['10', '10']","['g', 'g']"
수박비빔국수와 수박고추장소스,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102118_1416273678307.jpg,"['http://www.foodsafetykorea.go.kr/uploadimg/cook/693-1.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/693-2.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/693-3.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/693-4.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/693-5.jpg', 'http://www.foodsafetykorea.go.kr/uploadimg/cook/693-6.jpg']","['1. 당근, 적채, 깻잎, 양배추는 씻어 4~5cm 가량으로 채 썬다.', '2. 수박의 과육과 흰부분의 껍질은 4~5cm 가량으로 채 썬다.', '3. 소면은 끓는 물에 넣고 끓어오르면 소량의 찬물을 붓고 다시 한 번 끓이고 속까지 익으면 재빨리 찬물에 헹구어 채반에 건진다.', '4. 달걀은 황백지단을 부쳐 채 썬다.', '5. 수박과 양파를 강판에 갈고 고추장, 고춧가루, 참기름, 다진 파, 다진 마늘, 식초, 매실액, 통깨를 넣어 수박고추장양념소스를 만든다.', '6. 소면에 수박고추장양념소스를 넣어 비비고 지단을 올린다.']","['다슬기살', '호박잎', '부추', '달걀', '물', '된장', '국멸치', '건다시마', '파', '다진 마늘']","['20', '20', '15', '15', '300', '8', '5', '25', '5', '5']","['g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']"
